category_name,position,id,name,description,brand,sku,mpn,price_ron,low_price_ron,high_price_ron,currency,availability,image_url,product_url,shop_name,city,category_url
Scaune birou,,,"Scaun birou directorial US116 Calisto, rotativ, imitatie piele, negru",,,,,999.01,,1299.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8078080_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us116-calisto-rotativ-imitatie-piele-negru/p/8078080,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun gaming US101, rotativ, imitatie piele, negru + rosu",,,,,489.0,,548.99,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8092930-1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-gaming-us101-rotativ-imitatie-piele-negru-rosu/p/8092930,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial US134 Aria, textil, gri inchis",,,,,699.0,,779.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/1/8121551_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us134-aria-textil-gri-inchis/p/8121551,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Twist, rotativ, imitatie de piele, maro",,,,,599.0,,769.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8097896.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-twist-rotativ-imitatie-de-piele-maro/p/8097895,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial US119, imitatie piele, negru",,,,,598.99,,679.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/1/8118834_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us119-imitatie-piele-negru/p/8118834,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou operational Ystad, rotativ, material textil, gri + negru",,,,,299.0,,329.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8098125_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-operational-ystad-rotativ-material-textil-gri-negru/p/8098125,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Golf GLX, rotativ, textil, negru",,,,,259.0,,289.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8092544_1_.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-golf-glx-rotativ-textil-negru/p/8092544,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Golf, rotativ, imitatie piele 3528, maro",,,,,239.0,,269.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8007461_3_2.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-golf-rotativ-imitatie-piele-3528-maro/p/8007461,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou ergonomic Golf, rotativ, stofa C73, gri deschis",,,,,229.0,,259.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8046461_3_2.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-ergonomic-golf-rotativ-stofa-c73-gri-deschis/p/8046461,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial US134 Aria, material textil, verde",,,,,699.0,,779.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/1/8121548_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us134-aria-material-textil-verde/p/8121548,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial US134 Aria, material textil, violet",,,,,699.0,,779.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/1/8121547_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us134-aria-material-textil-violet/p/8121547,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
Scaune birou,,,"Scaun birou directorial US115 Oberon, rotativ, textil, gri",,,,,549.0,,679.0,RON,,https://cdn.dedeman.ro/media/catalog/product/8/0/8078078_1.jpg?optimize=low&fit=bounds&height=266&width=266&canvas=266:266,https://www.dedeman.ro/ro/scaun-birou-directorial-us115-oberon-rotativ-textil-gri/p/8078078,Dedeman,Romania,https://www.dedeman.ro/ro/scaune-birou/c/496
